country,state,county,city,proximity,uncertainty,notes,clean_fingerprint,fingerprints
USA,North Carolina,,,,,,bmls4pCfVVNB4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWw=,bmls4pCfVVNB4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWw=
USA,North Carolina,,Asheville,,,,bmls4pCfVVNB4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9Bc2hldmlsbGXikJ9uaWzikJ9uaWw=,bmls4pCfVVNB4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9Bc2hldmlsbGXikJ9uaWzikJ9uaWw=
USA,North Carolina,,Bakersville,,,,bmls4pCfVVNB4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9CYWtlcnN2aWxsZeKQn25pbOKQn25pbA==,bmls4pCfVVNB4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9CYWtlcnN2aWxsZeKQn25pbOKQn25pbA==
USA,North Carolina,,near Beria,,,,bmls4pCfVVNB4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9uZWFyIEJlcmlh4pCfbmls4pCfbmls,bmls4pCfVVNB4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9uZWFyIEJlcmlh4pCfbmls4pCfbmls
USA,North Carolina,,Charlotte,,,,bmls4pCfVVNB4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9DaGFybG90dGXikJ9uaWzikJ9uaWw=,bmls4pCfVVNB4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9DaGFybG90dGXikJ9uaWzikJ9uaWw=
USA,North Carolina,,Cherokee,,,,bmls4pCfVVNB4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9DaGVyb2tlZeKQn25pbOKQn25pbA==,bmls4pCfVVNB4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9DaGVyb2tlZeKQn25pbOKQn25pbA==
USA,North Carolina,,Currituck,,,,bmls4pCfVVNB4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9DdXJyaXR1Y2vikJ9uaWzikJ9uaWw=,bmls4pCfVVNB4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9DdXJyaXR1Y2vikJ9uaWzikJ9uaWw=
USA,North Carolina,,Durham,,,,bmls4pCfVVNB4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9EdXJoYW3ikJ9uaWzikJ9uaWw=,bmls4pCfVVNB4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9EdXJoYW3ikJ9uaWzikJ9uaWw=
USA,North Carolina,,Guntertown [sic],,,,bmls4pCfVVNB4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9HdW50ZXJ0b3duIFtzaWNd4pCfbmls4pCfbmls,bmls4pCfVVNB4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9HdW50ZXJ0b3duIFtzaWNd4pCfbmls4pCfbmls
USA,North Carolina,,Highlands,,,,bmls4pCfVVNB4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9IaWdobGFuZHPikJ9uaWzikJ9uaWw=,bmls4pCfVVNB4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9IaWdobGFuZHPikJ9uaWzikJ9uaWw=
USA,North Carolina,,Hot Springs,,,,bmls4pCfVVNB4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9Ib3QgU3ByaW5nc+KQn25pbOKQn25pbA==,bmls4pCfVVNB4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9Ib3QgU3ByaW5nc+KQn25pbOKQn25pbA==
